Shortcut,Action,Application,OS,Category,Description,Frequency
Ctrl+C,Copy,Windows,Windows,System,Copy action in Windows,High
Ctrl+V,Paste,Windows,Windows,System,Paste action in Windows,High
Ctrl+X,Cut,Windows,Windows,System,Cut action in Windows,High
Ctrl+Z,Undo,Windows,Windows,System,Undo action in Windows,High
Ctrl+Y,Redo,Windows,Windows,System,Redo action in Windows,High
Ctrl+S,Save,Windows,Windows,System,Save action in Windows,High
Ctrl+O,Open,Windows,Windows,System,Open action in Windows,High
Ctrl+N,New,Windows,Windows,System,New action in Windows,High
Ctrl+P,Print,Windows,Windows,System,Print action in Windows,High
Ctrl+F,Find,Windows,Windows,System,Find action in Windows,High
Ctrl+H,Replace,Windows,Windows,System,Replace action in Windows,High
Ctrl+A,Select All,Windows,Windows,System,Select All action in Windows,High
Ctrl+B,Bold,Windows,Windows,System,Bold action in Windows,High
Ctrl+I,Italic,Windows,Windows,System,Italic action in Windows,High
Ctrl+U,Underline,Windows,Windows,System,Underline action in Windows,High
Ctrl+T,New Tab,Windows,Windows,System,New Tab action in Windows,High
Ctrl+W,Close Tab,Windows,Windows,System,Close Tab action in Windows,High
Ctrl+Shift+P,Command Palette,Windows,Windows,System,Command Palette action in Windows,High
Alt+Tab,Switch Window,Windows,Windows,System,Switch Window action in Windows,High
Ctrl+Tab,Next Tab,Windows,Windows,System,Next Tab action in Windows,High
F1,Help,Windows,Windows,System,Help action in Windows,High
F2,Rename,Windows,Windows,System,Rename action in Windows,High
F5,Refresh,Windows,Windows,System,Refresh action in Windows,High
Ctrl+L,Focus Address Bar,Windows,Windows,System,Focus Address Bar action in Windows,High
Ctrl+D,Bookmark,Windows,Windows,System,Bookmark action in Windows,High
Ctrl+C,Copy,Windows,Windows,File Explorer,Copy action in Windows,High
Ctrl+V,Paste,Windows,Windows,File Explorer,Paste action in Windows,High
Ctrl+X,Cut,Windows,Windows,File Explorer,Cut action in Windows,High
Ctrl+Z,Undo,Windows,Windows,File Explorer,Undo action in Windows,High
Ctrl+Y,Redo,Windows,Windows,File Explorer,Redo action in Windows,High
Ctrl+S,Save,Windows,Windows,File Explorer,Save action in Windows,High
Ctrl+O,Open,Windows,Windows,File Explorer,Open action in Windows,High
Ctrl+N,New,Windows,Windows,File Explorer,New action in Windows,High
Ctrl+P,Print,Windows,Windows,File Explorer,Print action in Windows,High
Ctrl+F,Find,Windows,Windows,File Explorer,Find action in Windows,High
Ctrl+H,Replace,Windows,Windows,File Explorer,Replace action in Windows,High
Ctrl+A,Select All,Windows,Windows,File Explorer,Select All action in Windows,High
Ctrl+B,Bold,Windows,Windows,File Explorer,Bold action in Windows,High
Ctrl+I,Italic,Windows,Windows,File Explorer,Italic action in Windows,High
Ctrl+U,Underline,Windows,Windows,File Explorer,Underline action in Windows,High
Ctrl+T,New Tab,Windows,Windows,File Explorer,New Tab action in Windows,High
Ctrl+W,Close Tab,Windows,Windows,File Explorer,Close Tab action in Windows,High
